1,1,270,396,2014-04-03 0:00:00,cash,2014-04-03 0:00:00,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",June 2013 Golf Tournament
2,2,486,460,2014-01-13 0:00:00,cash,2014-01-13 0:00:00,Quisque ut erat. Curabitur gravida nisi at nibh.,December 2013 End of Year Appeal
3,3,175,755,2014-05-31 0:00:00,check,2014-05-31 0:00:00,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis.,April 2014 New Building Capital Campaign
4,4,281,10,2014-04-08 0:00:00,check,2014-04-08 0:00:00,Phasellus sit amet erat.,July 2014 Golf Tournament
5,5,482,17,2014-03-29 0:00:00,credit card,2014-03-29 0:00:00,Nullam varius. Nulla facilisi.,December 2014 End of Year Appeal
6,6,248,278,2014-03-11 0:00:00,check,2014-03-11 0:00:00,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",March 2015 Crowdfunding Campaign
7,1,455,443,2014-02-11 0:00:00,credit card,2014-02-11 0:00:00,Quisque ut erat. Curabitur gravida nisi at nibh.,June 2013 Golf Tournament
8,2,298,31,2014-04-08 0:00:00,check,2014-04-08 0:00:00,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis.,December 2013 End of Year Appeal
9,3,488,540,2014-05-29 0:00:00,check,2014-05-29 0:00:00,Phasellus sit amet erat.,April 2014 New Building Capital Campaign
10,4,56,4,2014-05-11 0:00:00,check,2014-05-11 0:00:00,Nullam varius. Nulla facilisi.,July 2014 Golf Tournament
11,5,143,457,2014-05-16 0:00:00,cash,2014-05-16 0:00:00,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",December 2014 End of Year Appeal
12,6,87,863,2014-04-18 0:00:00,cash,2014-04-18 0:00:00,Integer ac neque.,March 2015 Crowdfunding Campaign
13,1,14,639,2014-01-12 0:00:00,cash,2014-01-12 0:00:00,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",June 2013 Golf Tournament
14,2,348,302,2014-02-08 0:00:00,credit card,2014-02-08 0:00:00,Quisque ut erat. Curabitur gravida nisi at nibh.,December 2013 End of Year Appeal
15,3,337,997,2014-02-23 0:00:00,credit card,2014-02-23 0:00:00,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis.,April 2014 New Building Capital Campaign
16,4,28,127,2014-02-07 0:00:00,credit card,2014-02-07 0:00:00,Phasellus sit amet erat.,July 2014 Golf Tournament
17,5,114,246,2014-04-03 0:00:00,check,2014-04-03 0:00:00,Nullam varius. Nulla facilisi.,December 2014 End of Year Appeal
18,6,352,649,2014-01-13 0:00:00,check,2014-01-13 0:00:00,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis.,March 2015 Crowdfunding Campaign
19,1,222,504,2014-05-31 0:00:00,check,2014-05-31 0:00:00,Phasellus sit amet erat.,June 2013 Golf Tournament
